Column1;Column2;Column3
36875;260;267
36901;255;263
36928;256;263
36955;260;262
36981;256;264
37008;256;267
37038;260;264
37064;256;263
37091;260;268
37117;255;264
37144;256;263
37172;256;263
37198;256;263
37225;260;263
37252;260;264
37314;255;263
37341;255;264
37367;256;263
37394;256;263
37424;256;263
37450;255;263
37477;256;263
37504;256;263
37530;256;263
37557;260;264
37583;256;263
37611;256;263
37638;256;264
37664;255;263
37727;256;263
37753;260;263
37783;255;263
37810;256;263
37836;260;263
37863;260;262
37890;256;264
37916;260;263
37944;256;263
37970;256;268
37997;256;268
38024;256;267
38050;260;262
38077;260;262
38107;260;264
38133;260;262
38160;256;263
38187;256;262
38213;260;263
38241;256;263
38267;260;262
38294;260;263
38321;260;263
38347;256;263
38374;256;266
38401;255;263
38430;260;262
38457;256;262
38483;259;266
38510;260;264
38537;256;263
38563;256;263
38590;256;263
38618;259;263
38644;260;263
38671;255;262
38697;260;263
38724;256;263
38753;260;262
38779;260;264
38807;260;262
38834;260;266
38860;260;266
38887;260;263
38949;256;264
38976;260;268
39004;256;263
39030;257;268
39057;259;267
39084;259;263
39110;256;263
39140;260;263
39166;255;263
39193;260;262
39220;256;263
39246;256;263
39273;256;262
39301;255;268
39327;260;268
39354;256;263
39380;260;263
39407;260;262
39434;256;268
39499;256;263
39526;256;267
39553;256;268
39579;256;267
39606;256;262
39632;260;263
39660;260;268
39687;260;268
39713;256;268
39740;260;263
39767;256;267
39793;256;264
39823;256;267
39849;256;267
39876;255;264
39903;256;262
39929;260;264
39956;260;267
39983;255;263
40010;255;263
40037;256;267
40064;260;267
40090;256;262
40117;254;262
40146;256;264
40173;256;266
40200;256;263
40226;255;263
40253;256;263
40280;256;267
40306;260;263
40333;256;268
40360;255;263
40387;256;263
40414;256;267
40440;256;263
40470;256;263
40497;256;263
40523;256;263
40586;256;262
40612;256;263
40639;255;262
40666;260;263
40692;256;262
40719;260;262
40747;256;263
40773;256;262
40800;256;262
40826;256;263
40855;256;262
40883;256;262
40909;256;262
40936;255;262
40963;256;263
40989;260;263
41016;256;263
41042;256;262
41069;256;263
41096;256;262
41122;261;262
41149;255;267
41179;256;263
41205;256;263
41268;256;264
41294;260;262
41321;256;262
41348;256;262
41375;260;263
41402;260;262
41428;260;263
41455;260;262
41482;256;263
41508;256;262
41538;256;263
41565;256;262
41591;256;262
41618;256;263
41645;260;263
41671;255;264
41698;256;264
41725;256;262
41752;255;263
41779;256;263
41805;260;263
41832;259;263
41862;255;262
41888;256;263
41915;260;262
41942;260;262
41968;255;262
41995;256;263
42021;255;263
42048;260;262
42076;255;263
42102;256;263
42129;260;263
42156;256;267
42220;256;267
42247;256;268
42273;255;267
42300;256;262
42327;256;262
42353;256;263
42380;256;267
42407;260;263
42434;256;268
42461;260;263
42487;256;263
42514;260;263
42541;256;262
42570;256;262
42597;260;262
42624;260;262
42650;260;263
42677;256;262
42703;256;267
42730;260;263
42758;256;263
42784;256;262
42811;256;263
42838;256;263
42864;256;263
42893;256;263
42919;256;262
42947;260;262
42974;256;262
43036;259;267
43063;256;267
43089;256;262
43116;260;267
43143;256;262
43170;256;263
43197;256;268
43224;256;262
43252;256;262
43280;255;263
43307;256;262
43333;256;262
43360;256;263
43386;255;262
43413;260;263
43440;256;263
43466;256;262
43494;255;262
43521;255;263
43547;255;263
43576;255;263
43602;256;268
43630;260;263
43657;256;263
43683;255;263
43710;260;263
43737;255;262
43763;255;263
43790;256;263
43816;260;262
43879;256;262
43906;260;262
43942;257;262
43970;256;263
43997;256;262
44023;256;262
44050;256;263
44077;256;263
44103;256;263
44130;256;262
44156;255;267
44184;255;263
44211;256;263
44237;256;262
44266;256;263
44293;256;263
44319;256;263
44347;256;263
44374;256;262
44400;255;262
44427;256;263
44453;256;263
44480;256;262
44507;255;263
44534;255;262
44561;260;263
44588;255;262
44616;256;263
44644;256;263
44670;255;263
44697;256;263
44724;255;262
44750;256;263
44813;256;262
44839;256;263
44866;255;262
